timestamp_utc,run_id,task_id,submission_status,returned_signature,submission_response,submission_timing_ms
2025-07-23T01:29:21.716890Z,20250723_012920,1,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,650.12
2025-07-23T01:29:21.716963Z,20250723_012920,2,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,630.32
2025-07-23T01:29:21.716991Z,20250723_012920,3,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,666.33
2025-07-23T01:29:21.717011Z,20250723_012920,4,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,661.64
2025-07-23T01:29:21.717029Z,20250723_012920,5,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,664.19
2025-07-23T01:29:21.717052Z,20250723_012920,6,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,599.86
2025-07-23T01:29:21.717069Z,20250723_012920,7,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,662.94
2025-07-23T01:29:21.717085Z,20250723_012920,8,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,620.01
2025-07-23T01:29:21.717101Z,20250723_012920,9,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,612.98
2025-07-23T01:29:21.717116Z,20250723_012920,10,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,620.41
2025-07-23T01:29:21.717131Z,20250723_012920,11,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,663.44
2025-07-23T01:29:21.717149Z,20250723_012920,12,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,662.83
2025-07-23T01:29:21.717167Z,20250723_012920,13,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,633.4
2025-07-23T01:29:21.717184Z,20250723_012920,14,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,661.32
2025-07-23T01:29:21.717200Z,20250723_012920,15,ACCEPTED,4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,RPC accepted: 4akWKACx5DbdtJmdMJfmNe4V8DReCvLknT3TEjPpnU1UTGbBBysus5Jd6kdKwKSogUiN3ikixoQm7EJYPVDKepTV,206.89
